ACP - LISBOA,5331,5149,"69,61%",5072,4932,"70,97%",10403,10081,"70,27%"
ACP - PORTO,15068,14608,"73,90%",14757,14195,"69,53%",29825,28803,"71,75%"
AHBVT - Fundão,1360,1340,"76,19%",1811,1772,"57,51%",3171,3112,"65,55%"
AHBVT - Mirandela,2263,2212,"66,91%",2550,2500,"63,72%",4813,4712,"65,22%"
AHBVT - Portimão,4766,4610,"65,47%",4834,4774,"59,87%",9600,9384,"62,62%"
AHBVT - Tábua,3984,3872,"73,55%",4106,3947,"73,25%",8090,7819,"73,40%"
ANIECA _Albergaria a Velha,9849,9656,"69,77%",10446,10125,"68,70%",20295,19781,"69,22%"
ANIECA_Barreiro,8809,8580,"69,67%",7887,7806,"68,23%",16696,16386,"68,99%"
ANIECA_Linda a Velha,11638,11265,"67,33%",9353,9220,"70,03%",20991,20485,"68,55%"
ANIECA_Penafiel,8661,8555,"70,04%",10074,9956,"59,86%",18735,18511,"64,57%"
ANIECA_Porto de Mós,7375,7243,"69,06%",8790,8676,"62,64%",16165,15919,"65,56%"
ANIECA_Vila Verde,5867,5701,"69,74%",6309,6205,"65,09%",12176,11906,"67,32%"
APEC - Lisboa,23781,22955,"68,53%",23986,23744,"58,42%",47767,46699,"63,39%"
IMT Aveiro,3224,3169,"73,24%",3432,3409,"66,76%",6656,6578,"69,88%"
IMT Beja,1785,1737,"68,57%",1697,1657,"68,62%",3482,3394,"68,59%"
IMT Braga,9361,9005,"73,07%",8151,7999,"79,68%",17512,17004,"76,18%"
IMT Bragança,634,604,"73,51%",682,656,"59,91%",1316,1260,"66,43%"
IMT Castelo Branco,939,918,"75,93%",1369,1298,"50,31%",2308,2216,"60,92%"
IMT Coimbra,3513,3408,"76,53%",3841,3744,"66,51%",7354,7152,"71,28%"
IMT Évora,1793,1764,"67,57%",1703,1680,"67,62%",3496,3444,"67,60%"
IMT Faro,1996,1940,"61,13%",1968,1948,"55,54%",3964,3888,"58,33%"
IMT Guarda,934,900,"71,00%",1135,1114,"55,03%",2069,2014,"62,16%"
IMT Leiria,1197,1153,"72,42%",1017,1002,"76,75%",2214,2155,"74,43%"
IMT Lisboa,1334,1236,"70,15%",1304,1257,"68,18%",2638,2493,"69,15%"
IMT Lisboa - Sobral de Monte Agraço,766,745,"68,99%",630,625,"85,12%",1396,1370,"76,35%"
IMT Portalegre,1383,1355,"70,18%",1098,1060,"85,09%",2481,2415,"76,73%"
IMT Porto,5145,5000,"71,78%",5766,5678,"72,82%",10911,10678,"72,34%"
IMT Santarém,2936,2838,"68,43%",2964,2872,"68,87%",5900,5710,"68,65%"
IMT Setúbal,2790,2617,"66,49%",2848,2726,"60,82%",5638,5343,"63,60%"
IMT Viana do Castelo,3220,3142,"71,10%",2991,2952,"82,52%",6211,6094,"76,63%"
IMT Vila Real,1632,1600,"70,00%",1724,1667,"67,19%",3356,3267,"68,56%"
IMT Vila Real-Chaves,825,814,"68,43%",758,739,"74,15%",1583,1553,"71,15%"
IMT Viseu,1789,1726,"72,42%",2422,2362,"52,79%",4211,4088,"61,08%"
Total,155948,151417,"70,14%",157475,154297,"66,18%",313423,305714,"68,14%"
