1,Escola De Condução Automovel Club De Portugal,308,282,"80,50%",332,328,"68,60%",640,610,"74,10%"
2,Escola De Condução Acp,296,289,"81,66%",376,369,"69,38%",672,658,"74,77%"
5,Escola De Condução «A Popular»,59,57,"61,40%",44,44,"65,91%",103,101,"63,37%"
6,Escola De Condução Automoveis Monumental,101,97,"74,23%",108,106,"68,87%",209,203,"71,43%"
7,Escola De Condução A Desportiva (Boavista),231,226,"61,95%",192,186,"70,97%",423,412,"66,02%"
8,Escola De Condução Vitória,218,195,"64,10%",266,246,"54,88%",484,441,"58,96%"
9,Escola De Condução Enal,47,45,"42,22%",32,31,"61,29%",79,76,"50,00%"
10,Escola De Condução Lusitânia De Automobilsmo,124,122,"88,52%",208,207,"58,45%",332,329,"69,60%"
11,Escola De Condução Rodaqui,129,126,"63,49%",132,131,"73,28%",261,257,"68,48%"
12,Escola De Condução Bastos,134,128,"64,84%",192,185,"54,59%",326,313,"58,79%"
13,Escola De Condução Morarte,201,186,"76,34%",209,201,"64,18%",410,387,"70,03%"
14,Escola De Condução Carsil,147,143,"80,42%",180,173,"85,55%",327,316,"83,23%"
15,Escola De Condução Estrela Torriense,242,238,"66,81%",224,218,"74,77%",466,456,"70,61%"
16,Escola De Condução Moderna,903,879,"75,88%",524,519,"63,20%",1427,1398,"71,17%"
17,Escola De Condução Hugo Vieira (Porto),325,318,"79,25%",358,349,"77,94%",683,667,"78,56%"
19,Escola De Condução E P Campos,170,158,"67,09%",154,154,"59,74%",324,312,"63,46%"
20,Escola De Condução Ouriense,178,177,"83,05%",232,231,"75,76%",410,408,"78,92%"
21,Escola De Condução São Cristóvão,420,403,"74,94%",365,363,"69,97%",785,766,"72,58%"
22,Escola De Condução M M Ouressa,109,105,"76,19%",135,131,"73,28%",244,236,"74,58%"
23,Escola De Condução Ribatejana,61,60,"63,33%",64,64,"64,06%",125,124,"63,71%"
24,Escola De Condução Dokas,774,749,"81,44%",723,717,"74,48%",1497,1466,"78,04%"
25,Escola De Condução M Silva,135,131,"76,34%",117,117,"88,03%",252,248,"81,85%"
27,Escola De Condução Alkântara,78,73,"72,60%",73,72,"63,89%",151,145,"68,28%"
28,Escola De Condução De Benfica,87,81,"61,73%",72,72,"56,94%",159,153,"59,48%"
29,Escola De Condução Auto Águia,205,194,"68,04%",149,147,"78,91%",354,341,"72,73%"
30,Escola De Condução Técnica Automóvel Silvino,42,38,"71,05%",37,36,"63,89%",79,74,"67,57%"
31,Escola De Condução A Portuguesa,217,211,"69,19%",215,213,"72,77%",432,424,"70,99%"
32,Escola De Condução Idal,354,343,"73,76%",417,415,"64,34%",771,758,"68,60%"
33,Escola De Condução A Império,32,31,"58,06%",38,38,"52,63%",70,69,"55,07%"
34,Escola De Condução Destaque,123,123,"73,17%",112,111,"63,96%",235,234,"68,80%"
35,Escola De Condução Neuropa,175,168,"79,76%",223,221,"76,47%",398,389,"77,89%"
36,Escola De Condução Pincor,125,122,"72,13%",131,127,"60,63%",256,249,"66,27%"
39,Escola De Condução Torrejana,95,91,"74,73%",129,127,"76,38%",224,218,"75,69%"
40,Escola De Condução Automóvel Lisbonense,221,202,"71,78%",319,305,"53,11%",540,507,"60,55%"
41,Escola De Condução Telheiras,215,204,"76,47%",241,239,"58,16%",456,443,"66,59%"
42,Escola De Condução Carvalhido,159,157,"69,43%",180,175,"65,71%",339,332,"67,47%"
44,Escola De Condução Saldanha,864,826,"71,43%",925,918,"56,21%",1789,1744,"63,42%"
45,Escola De Condução Gonçalves E Delgado,86,77,"74,03%",86,84,"60,71%",172,161,"67,08%"
47,Escola De Condução Moderna De Tomar,175,171,"76,61%",239,238,"71,43%",414,409,"73,59%"
48,Escola De Condução Sintra,179,175,"74,29%",164,164,"93,29%",343,339,"83,48%"
49,Escola De Condução Boavista,354,341,"80,94%",447,435,"60,92%",801,776,"69,72%"
52,Escola De Condução Invicta,297,277,"70,76%",302,292,"50,68%",599,569,"60,46%"
53,Escola De Condução S Mamede,70,70,"78,57%",80,80,"82,50%",150,150,"80,67%"
55,Escola De Condução Radical,1170,1139,"72,17%",1252,1247,"70,97%",2422,2386,"71,54%"
56,Escola De Condução Vila Franca,207,205,"75,61%",172,168,"73,81%",379,373,"74,80%"
57,Escola De Condução França,249,239,"73,22%",256,252,"75,40%",505,491,"74,34%"
58,Escola De Condução Portuense,197,193,"75,65%",242,236,"58,90%",439,429,"66,43%"
59,Escola De Condução Ecir,174,171,"74,27%",161,159,"78,62%",335,330,"76,36%"
60,Escola De Condução Vimaranense,114,113,"69,03%",121,118,"64,41%",235,231,"66,67%"
61,Escola De Condução Central Do Sameiro,322,312,"73,40%",289,286,"68,88%",611,598,"71,24%"
62,Escola De Condução Ribeiro,169,162,"74,69%",165,159,"72,33%",334,321,"73,52%"
64,Escola De Condução Albertino,136,135,"80,74%",147,142,"52,82%",283,277,"66,43%"
67,Escola De Condução Águeda,163,161,"68,94%",180,178,"74,16%",343,339,"71,68%"
