Idade,nan,PMF,PRF,AF,PMM,PRM,AM,PMT,PRT,AT
16,nan,524,510,80,98%,2295,2246,86,64%,2819,2756,83.68%
17,nan,491,481,80,04%,1842,1800,85,50%,2333,2281,82.47%
18,nan,23856,23461,68,55%,29682,29204,79,10%,53538,52665,73.19%
19,nan,16397,16076,64,13%,14823,14519,73,19%,31220,30595,67.06%
20,nan,8800,8620,61,01%,7826,7635,71,88%,16626,16255,64.64%
21,nan,5842,5718,59,88%,5498,5374,72,78%,11340,11092,64.68%
22,nan,4248,4156,59,43%,4161,4075,72,79%,8409,8231,64.65%
23,nan,3126,3060,59,74%,3263,3188,74,47%,6389,6248,65.77%
24,nan,2556,2498,57,81%,2813,2752,76,45%,5369,5250,66.08%
25,nan,2080,2028,57,30%,2400,2343,77,04%,4480,4371,66.23%
26,nan,1617,1591,56,32%,1907,1868,77,57%,3524,3459,66.54%
27,nan,1404,1386,54,98%,1726,1696,79,83%,3130,3082,67.60%
28,nan,1323,1293,55,45%,1606,1560,80,71%,2929,2853,67.46%
29,nan,1164,1134,54,67%,1448,1412,81,73%,2612,2546,67.92%
30,nan,1052,1029,55,88%,1302,1258,83,07%,2354,2287,68.82%
31,nan,1003,978,51,84%,1237,1203,82,88%,2240,2181,67.14%
32,nan,930,909,55,01%,1202,1172,83,28%,2132,2081,69.23%
33,nan,809,786,53,69%,1092,1056,85,23%,1901,1842,69.54%
34,nan,717,693,50,51%,994,965,84,35%,1711,1658,68.03%
35,nan,733,719,50,63%,892,863,84,94%,1625,1582,67.51%
36,nan,716,696,49,57%,924,890,84,27%,1640,1586,66.77%
37,nan,618,602,49,83%,869,838,82,94%,1487,1440,66.91%
38,nan,698,680,46,18%,859,829,85,40%,1557,1509,65.64%
39,nan,596,577,45,93%,766,738,85,09%,1362,1315,65.57%
40,nan,538,521,47,79%,659,644,83,70%,1197,1165,65.83%
41,nan,438,425,40,00%,634,623,80,42%,1072,1048,62.59%
42,nan,479,468,45,30%,584,571,82,84%,1063,1039,64.44%
43,nan,383,374,44,12%,512,496,83,47%,895,870,64.69%
44,nan,370,363,39,67%,447,435,83,45%,817,798,62.06%
45,nan,335,325,47,38%,389,382,79,06%,724,707,62.98%
46,nan,277,264,43,18%,363,348,79,31%,640,612,60.94%
47,nan,316,306,35,95%,375,358,79,33%,691,664,57.02%
48,nan,274,261,37,16%,298,288,77,43%,572,549,55.94%
49,nan,278,271,36,53%,287,268,82,46%,565,539,56.64%
50,nan,301,291,39,52%,274,268,77,99%,575,559,56.35%
51,nan,229,226,35,84%,241,232,73,71%,470,458,53.62%
52,nan,220,215,34,88%,188,187,80,21%,408,402,55.15%
53,nan,253,251,31,47%,164,159,76,10%,417,410,47.96%
54,nan,213,206,31,55%,158,153,73,86%,371,359,47.98%
55,nan,146,143,30,07%,143,136,69,12%,289,279,47.40%
56,nan,140,134,28,36%,95,93,78,49%,235,227,47.23%
57,nan,162,159,22,64%,100,93,81,72%,262,252,42.75%
58,nan,144,134,26,12%,60,59,74,58%,204,193,38.73%
59,nan,94,93,32,26%,56,56,71,43%,150,149,46.67%
60,nan,129,128,26,56%,63,60,65,00%,192,188,38.02%
61,nan,92,88,23,86%,43,42,66,67%,135,130,36.30%
62,nan,72,71,23,94%,32,31,58,06%,104,102,33.65%
63,nan,59,58,29,31%,37,36,52,78%,96,94,37.50%
64,nan,84,83,22,89%,31,31,83,87%,115,114,39.13%
65,nan,59,59,27,12%,30,28,67,86%,89,87,39.33%
66,nan,45,41,26,83%,18,18,77,78%,63,59,39.68%
67,nan,33,28,21,43%,17,16,75,00%,50,44,36.00%
68,nan,21,20,35,00%,13,12,66,67%,34,32,44.12%
69,nan,25,24,33,33%,19,18,72,22%,44,42,47.73%
70,nan,20,18,22,22%,13,13,46,15%,33,31,30.30%
71,nan,5,5,20,00%,10,10,50,00%,15,15,40.00%
72,nan,6,6,33,33%,11,9,55,56%,17,15,41.18%
73,nan,4,3,33,33%,3,3,66,67%,7,6,42.86%
74,nan,8,8,0,00%,2,2,100,00%,10,10,20.00%
75,nan,8,7,14,29%,3,3,0,00%,11,10,9.09%
76,nan,0,0,7,6,50,00%,7,6,42.86%
77,nan,4,4,0,00%,1,1,0,00%,5,5,0.00%
78,nan,0,0,5,4,75,00%,5,4,60.00%
79,nan,0,0,3,3,0,00%,3,3,0.00%
TotalGeral,nan,87564,85762,60,62%,97815,95679,77,58%,185379,181441,68.09%
