A,9213,8994,"92,77%"
A1,5733,5557,"85,42%"
A2,4058,3942,"92,14%"
AM,43,38,"81,58%"
B,165423,162305,"66,03%"
B1,555,521,"85,99%"
BE,127,118,"93,22%"
C,6094,5970,"87,22%"
CE,5055,4899,"82,00%"
D,1587,1545,"87,38%"
D1,9,8,"100,00%"
G2,1,1,"100,00%"
G3,1207,1144,"96,15%"
Total Geral,199105,195042,"69,81%"
nan,nan,Provas Teóricas,nan
Categorias,Provas Marcadas,Provas Realizadas,%Aprovação
A/A1,10708,10364,"69,25%"
A/A1-x,10042,9644,"87,82%"
B - Teórica,159083,153726,"69,81%"
C (AM)- Ciclomotores,1291,1156,"78,63%"
C/C1,6410,6169,"87,79%"
D/D1,1576,1515,"91,35%"
NULL,404,377,"18,30%"
Total Geral,189514,182951,"71,46%"
