center,I,II,TA,L,LL,PA,B,BB,SA
ACP - LISBOA,8209,7949,"70,83%",8270,8106,"74,76%",16479,16055,"72,81%"
ACP - PORTO,18628,18126,"75,28%",23403,23008,"62,67%",42031,41134,"68,23%"
AHBVT - Fund�o,1704,1606,"74,16%",2274,2206,"55,53%",3978,3812,"63,38%"
AHBVT - Mirandela,2525,2442,"71,29%",3038,2978,"71,02%",5563,5420,"71,14%"
AHBVT - Portim�o,7489,7122,"66,40%",7676,7575,"63,25%",15165,14697,"64,78%"
AHBVT - T�bua,6264,6039,"74,25%",7756,7576,"73,26%",14020,13615,"73,70%"
ANIECA _Albergaria a Velha,10652,10346,"69,22%",12438,11607,"70,42%",23090,21953,"69,86%"
ANIECA_Barreiro,13562,13154,"69,94%",12870,12696,"70,43%",26432,25850,"70,18%"
ANIECA_Linda a Velha,15016,14488,"69,03%",14286,14031,"70,80%",29302,28519,"69,90%"
ANIECA_Penafiel,9813,9633,"70,58%",12034,11912,"64,87%",21847,21545,"67,42%"
ANIECA_Porto de M�s,9868,9621,"70,89%",11507,11363,"69,55%",21375,20984,"70,16%"
ANIECA_Vila Verde,8581,8348,"74,68%",9502,9257,"72,99%",18083,17605,"73,79%"
APEC - Lisboa,27075,26039,"71,43%",28138,27845,"67,07%",55213,53884,"69,18%"
IMT Aveiro,4266,4148,"70,83%",3904,3865,"72,70%",8170,8013,"71,73%"
IMT Beja,2158,2050,"69,41%",2272,2215,"79,50%",4430,4265,"74,65%"
IMT Braga,8645,8310,"73,77%",8433,8260,"87,92%",17078,16570,"80,82%"
IMT Bragan�a,706,629,"70,43%",799,774,"72,22%",1505,1403,"71,42%"
IMT Castelo Branco,1186,1123,"74,71%",1393,1370,"57,52%",2579,2493,"65,26%"
IMT Coimbra,3674,3517,"74,98%",3493,3377,"60,79%",7167,6894,"68,03%"
IMT �vora,1814,1770,"69,55%",1810,1774,"79,99%",3624,3544,"74,77%"
IMT Faro,1627,1576,"63,71%",1953,1894,"66,90%",3580,3470,"65,45%"
IMT Guarda,1115,1087,"73,41%",1471,1421,"60,24%",2586,2508,"65,95%"
IMT Leiria,1633,1593,"72,82%",1729,1713,"82,31%",3362,3306,"77,74%"
IMT Lisboa,1153,1065,"61,22%",914,879,"76,34%",2067,1944,"68,06%"
IMT Lisboa - Sobral de Monte Agra�o,1106,1047,"73,54%",1026,1019,"90,48%",2132,2066,"81,90%"
IMT Portalegre,1690,1633,"71,40%",1775,1701,"90,06%",3465,3334,"80,92%"
IMT Porto,6007,5711,"70,90%",5272,5145,"69,93%",11279,10856,"70,44%"
IMT Santar�m,2448,2364,"73,82%",2326,2272,"82,83%",4774,4636,"78,24%"
IMT Set�bal,1771,1681,"67,64%",1411,1379,"79,55%",3182,3060,"73,01%"
IMT Viana do Castelo,4461,4353,"72,32%",3890,3829,"89,92%",8351,8182,"80,55%"
IMT Vila Real,2180,2105,"72,73%",2142,2078,"77,62%",4322,4183,"75,16%"
IMT Vila Real-Chaves,976,953,"72,19%",923,903,"81,95%",1899,1856,"76,94%"
IMT Viseu,2323,2241,"73,85%",2825,2752,"58,50%",5148,4993,"65,39%"
