Unnamed: 0,Provas Teóricas,Provas Práticas,Total,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Centro de Exames,Provas Marcadas,Provas Realizadas,% Aprovação,Provas Marcadas,Provas Realizadas,% Aprovação,Provas Marcadas,Provas Realizadas,% Aprovação
ACP_LISBOA,8299,7990,"69,09%",7954,7788,"69,72%",16253,15778,"69,40%"
ACP_PORTO,14871,14419,"71,86%",18723,18407,"58,42%",33594,32826,"64,32%"
ANIECA_LINDA-A-VELHA,12494,11962,"65,66%",11990,11735,"67,71%",24484,23697,"66,68%"
APEC_LISBOA,21451,20427,"66,68%",21908,21677,"62,34%",43359,42104,"64,44%"
IMT_Lisboa,891,808,"60,27%",656,645,"71,63%",1547,1453,"65,31%"
IMT_Lisboa_SMA,675,660,"69,24%",688,683,"84,63%",1363,1343,"77,07%"
IMT_Vila Real_Chaves,789,767,"69,75%",759,739,"77,67%",1548,1506,"73,64%"
ANIECA_ALBERGARIA-A-VELHA,9410,9108,"66,66%",10491,9970,"64,72%",19901,19078,"65,65%"
AHBVT_MIRANDELA,2015,1950,"66,62%",2090,2043,"66,47%",4105,3993,"66,54%"
ANIECA_PENAFIEL,8245,8092,"68,62%",9860,9771,"61,14%",18105,17863,"64,53%"
AHBVT_PORTIMÃO,5867,5603,"62,54%",6260,6186,"57,94%",12127,11789,"60,12%"
ANIECA_PORTO DE MÓS,7331,7127,"67,95%",8680,8566,"63,89%",16011,15693,"65,74%"
AHBVT_TÁBUA,5304,5140,"69,69%",5864,5725,"66,22%",11168,10865,"67,86%"
ANIECA_BRAGA,7574,7362,"73,63%",8554,8385,"67,72%",16128,15747,"70,48%"
ANIECA_BARREIRO,12139,11716,"66,31%",11462,11307,"68,64%",23601,23023,"67,45%"
AHBVT_FUNDÃO,1587,1532,"74,41%",2196,2098,"54,10%",3783,3630,"62,67%"
IMT_Guarda,909,869,"69,51%",1060,1032,"56,49%",1969,1901,"62,44%"
IMT_Aveiro,3398,3300,"66,58%",3372,3316,"68,46%",6770,6616,"67,52%"
IMT_Beja,1684,1632,"64,89%",1600,1556,"72,43%",3284,3188,"68,57%"
IMT_Braga,6293,5956,"70,75%",5586,5450,"84,55%",11879,11406,"77,35%"
IMT_Bragança,574,540,"70,56%",677,643,"66,41%",1251,1183,"68,30%"
IMT_Castelo Branco,924,895,"70,50%",1196,1166,"53,17%",2120,2061,"60,70%"
IMT_Leiria,1136,1063,"74,51%",1231,1224,"77,37%",2367,2287,"76,04%"
IMT_Portalegre,1380,1331,"66,87%",1155,1110,"81,62%",2535,2441,"73,58%"
IMT_Santarem,606,576,"67,01%",1016,1003,"87,94%",1622,1579,"80,30%"
IMT_Setubal,1884,1781,"62,83%",1327,1315,"76,05%",3211,3096,"68,44%"
IMT_Viana do Castelo,3479,3372,"69,16%",2954,2910,"88,83%",6433,6282,"78,27%"
IMT_Vila Real,1776,1694,"71,61%",1847,1802,"72,59%",3623,3496,"72,11%"
IMT_Viseu,1709,1634,"72,15%",2237,2202,"57,72%",3946,3836,"63,87%"
IMT_Coimbra,2195,2102,"72,84%",3538,3417,"57,10%",5733,5519,"63,09%"
IMT_Évora,1483,1430,"66,85%",1396,1347,"72,23%",2879,2777,"69,46%"
IMT_Faro,1586,1540,"61,82%",1410,1381,"56,77%",2996,2921,"59,43%"
IMT_Porto,6157,5628,"72,09%",5942,5788,"65,86%",12099,11416,"68,93%"
Total Geral,156115,150006,"68,34%",165679,162387,"65,59%",321794,312393,"66,91%"
