Unnamed: 0,Unnamed: 1,Provas Teóricas,Provas Práticas,Total,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
N.o EC,Designação,Provas Marcadas,Provas Realizadas,% Aprovação,Provas Marcadas,Provas Realizadas,% Aprovação,Provas Marcadas,Provas Realizadas,% Aprovação
1,ESCOLA DE CONDUÇÃO AUTOMOVEL CLUB DE PORTUGAL,384,356,"80,62%",393,386,"71,24%",777,742,"75,74%"
2,ESCOLA DE CONDUÇÃO ACP,200,196,"80,10%",217,215,"70,23%",417,411,"74,94%"
5,ESCOLA DE CONDUÇÃO «A POPULAR»,51,44,"79,55%",65,65,"66,15%",116,109,"71,56%"
6,ESCOLA DE CONDUÇÃO AUTOMOVEIS MONUMENTAL,173,168,"69,05%",230,228,"59,65%",403,396,"63,64%"
7,ESCOLA DE CONDUÇÃO A DESPORTIVA - BOAVISTA,97,90,"80,00%",113,106,"77,36%",210,196,"78,57%"
8,ESCOLA DE CONDUÇÃO VITÓRIA,297,274,"57,66%",267,256,"48,05%",564,530,"53,02%"
9,ESCOLA DE CONDUÇÃO ENAL,5,5,"100,00%",4,4,"100,00%",9,9,"100,00%"
10,ESCOLA DE CONDUÇÃO LUSITÂNIA DE AUTOMOBILSMO,192,188,"75,53%",199,198,"63,64%",391,386,"69,43%"
11,ESCOLA DE CONDUÇÃO RODAQUI,240,240,"60,00%",191,191,"79,58%",431,431,"68,68%"
12,ESCOLA DE CONDUÇÃO BASTOS,120,118,"70,34%",168,167,"56,89%",288,285,"62,46%"
13,ESCOLA DE CONDUÇÃO MORARTE,111,104,"80,77%",193,190,"46,84%",304,294,"58,84%"
14,ESCOLA DE CONDUÇÃO CARSIL,206,202,"74,26%",271,262,"77,10%",477,464,"75,86%"
15,ESCOLA DE CONDUÇÃO ESTRELA TORRIENSE,171,168,"68,45%",160,158,"77,85%",331,326,"73,01%"
16,ESCOLA DE CONDUÇÃO MODERNA,505,487,"74,74%",688,679,"52,72%",1193,1166,"61,92%"
17,ESCOLA DE CONDUÇÃO HUGO VIEIRA,397,385,"82,86%",583,570,"70,88%",980,955,"75,71%"
19,ESCOLA DE CONDUÇÃO E P CAMPOS,186,175,"78,29%",206,203,"69,46%",392,378,"73,54%"
20,ESCOLA DE CONDUÇÃO OURIENSE,225,223,"75,78%",277,274,"76,64%",502,497,"76,26%"
21,ESCOLA DE CONDUÇÃO SÃO CRISTÓVÃO,339,325,"79,08%",336,334,"76,95%",675,659,"78,00%"
22,ESCOLA DE CONDUÇÃO M M OURESSA,203,187,"66,31%",197,183,"75,41%",400,370,"70,81%"
23,ESCOLA DE CONDUÇÃO RIBATEJANA,1,1,"0,00%",11,11,"100,00%",12,12,"91,67%"
24,ESCOLA DE CONDUÇÃO DOKAS,606,580,"68,62%",836,831,"61,61%",1442,1411,"64,49%"
25,ESCOLA DE CONDUÇÃO M SILVA,122,122,"68,03%",130,130,"76,92%",252,252,"72,62%"
27,ESCOLA DE CONDUÇÃO ALKÂNTARA,208,204,"64,22%",149,147,"57,82%",357,351,"61,54%"
28,ESCOLA DE CONDUÇÃO DE BENFICA,196,187,"60,96%",244,243,"50,21%",440,430,"54,88%"
29,ESCOLA DE CONDUÇÃO AUTO ÁGUIA,249,227,"65,64%",199,194,"70,10%",448,421,"67,70%"
30,ESCOLA DE CONDUÇÃO TÉCNICA AUTOMÓVEL SILVINO,133,115,"62,61%",104,99,"59,60%",237,214,"61,21%"
31,ESCOLA DE CONDUÇÃO A PORTUGUESA,270,259,"83,01%",245,245,"83,27%",515,504,"83,13%"
32,ESCOLA DE CONDUÇÃO IDAL,565,543,"76,61%",544,539,"73,10%",1109,1082,"74,86%"
34,ESCOLA DE CONDUÇÃO DESTAQUE,210,208,"62,50%",128,128,"83,59%",338,336,"70,54%"
35,ESCOLA DE CONDUÇÃO NEUROPA,529,504,"80,16%",506,494,"83,00%",1035,998,"81,56%"
36,ESCOLA DE CONDUÇÃO PINCOR,92,79,"69,62%",120,116,"50,00%",212,195,"57,95%"
38,ESCOLA DE CONDUÇÃO CAMPOLIDE,212,196,"64,80%",161,158,"55,06%",373,354,"60,45%"
39,ESCOLA DE CONDUÇÃO TORREJANA,136,128,"75,00%",148,147,"72,79%",284,275,"73,82%"
40,ESCOLA DE CONDUÇÃO AUTOMÓVEL LISBONENSE,462,437,"76,43%",511,503,"74,16%",973,940,"75,21%"
41,ESCOLA DE CONDUÇÃO TELHEIRAS,168,161,"70,19%",151,151,"68,87%",319,312,"69,55%"
42,ESCOLA DE CONDUÇÃO CARVALHIDO,168,158,"73,42%",222,217,"54,84%",390,375,"62,67%"
44,ESCOLA DE CONDUÇÃO SALDANHA,487,462,"66,45%",481,475,"61,89%",968,937,"64,14%"
45,ESCOLA DE CONDUÇÃO GONÇALVES E DELGADO,171,162,"69,75%",141,139,"77,70%",312,301,"73,42%"
47,ESCOLA DE CONDUÇÃO MODERNA DE TOMAR,283,268,"69,40%",319,310,"80,97%",602,578,"75,61%"
48,ESCOLA DE CONDUÇÃO  SINTRA,436,419,"65,87%",380,375,"76,00%",816,794,"70,65%"
49,ESCOLA DE CONDUÇÃO BOAVISTA,467,454,"78,85%",635,632,"49,37%",1102,1086,"61,69%"
52,ESCOLA DE CONDUÇÃO INVICTA,321,292,"65,07%",297,297,"56,90%",618,589,"60,95%"
53,ESCOLA DE CONDUÇÃO S MAMEDE,76,70,"82,86%",87,86,"76,74%",163,156,"79,49%"
55,ESCOLA DE CONDUÇÃO RADICAL,950,913,"74,59%",1018,999,"82,38%",1968,1912,"78,66%"
56,ESCOLA DE CONDUÇÃO VILA FRANCA,436,415,"58,07%",403,399,"65,91%",839,814,"61,92%"
57,ESCOLA DE CONDUÇÃO FRANÇA,406,368,"84,24%",445,439,"72,89%",851,807,"78,07%"
58,ESCOLA DE CONDUÇÃO PORTUENSE,162,148,"71,62%",179,175,"52,57%",341,323,"61,30%"
59,ESCOLA DE CONDUÇÃO ECIR,256,244,"78,28%",265,257,"75,10%",521,501,"76,65%"
60,ESCOLA DE CONDUÇÃO VIMARANENSE,37,37,"75,68%",59,57,"70,18%",96,94,"72,34%"
61,ESCOLA DE CONDUÇÃO CENTRAL DO SAMEIRO,444,420,"73,33%",345,339,"79,65%",789,759,"76,15%"
62,ESCOLA DE CONDUÇÃO RIBEIRO,91,85,"72,94%",123,120,"55,83%",214,205,"62,93%"
64,ESCOLA DE CONDUÇÃO ALBERTINO,294,266,"83,83%",472,450,"58,44%",766,716,"67,88%"
67,ESCOLA DE CONDUÇÃO ÁGUEDA,192,190,"78,95%",234,227,"75,77%",426,417,"77,22%"
69,ESCOLA DE CONDUÇÃO SANTA CLARA,662,629,"76,47%",718,693,"70,42%",1380,1322,"73,30%"
