Idade,Provas Marcadas,Provas Realizadas,% Aprova��o,Provas Marcadas,Provas Realizadas,% Aprova��o,Provas Marcadas,Provas Realizadas,% Aprova��o,Provas Marcadas,Provas Realizadas,AT
17,727,689,"75,47%",2224,2127,"75,69%",238,228,"81,58%",1001,966,"87,58%"
18,1012,938,"70,68%",3214,2986,"70,23%",747,689,"79,39%",2440,2268,"86,68%"
19,13301,12762,"84,72%",15600,14822,"80,86%",6430,6133,"71,69%",11388,10922,"81,79%"
20,18287,17075,"78,43%",18877,17429,"74,12%",20113,18742,"67,00%",20639,19187,"76,26%"
21,11127,10322,"71,93%",11418,10447,"68,15%",13691,12698,"62,14%",12223,11420,"71,05%"
22,6315,5828,"70,33%",6612,6021,"68,00%",8102,7537,"58,50%",7320,6815,"68,66%"
23,4382,4066,"69,80%",4618,4196,"71,14%",5156,4744,"59,13%",5032,4664,"70,99%"
24,3143,2835,"70,05%",3488,3148,"67,44%",3716,3438,"56,34%",3505,3239,"71,69%"
25,2521,2295,"70,37%",3098,2783,"70,14%",2773,2598,"55,93%",3209,2987,"74,19%"
26,2017,1826,"69,39%",2744,2480,"72,10%",2198,2039,"55,03%",2775,2602,"75,79%"
27,1754,1594,"67,31%",2394,2154,"70,57%",1919,1774,"53,95%",2489,2317,"77,56%"
28,1777,1618,"63,66%",2204,1960,"70,71%",1739,1626,"52,15%",2145,1983,"76,40%"
29,1587,1439,"62,20%",1919,1745,"73,41%",1614,1489,"54,33%",2068,1904,"77,15%"
30,1359,1246,"63,24%",1707,1567,"72,75%",1545,1393,"48,74%",1778,1629,"79,37%"
31,1172,1083,"64,73%",1650,1495,"77,32%",1250,1160,"52,84%",1718,1586,"79,63%"
32,1220,1104,"61,14%",1480,1323,"75,13%",1271,1178,"51,10%",1507,1407,"80,95%"
33,1050,966,"63,04%",1341,1210,"73,64%",1035,951,"54,47%",1411,1328,"80,20%"
34,1080,978,"58,18%",1295,1164,"73,20%",956,893,"49,05%",1271,1178,"81,75%"
35,953,867,"58,94%",1163,1059,"72,99%",920,871,"48,68%",1198,1118,"81,13%"
36,968,883,"60,70%",1147,1032,"69,48%",894,836,"45,69%",1141,1081,"82,33%"
37,847,785,"57,07%",1089,989,"72,80%",801,748,"45,59%",1174,1093,"80,51%"
38,847,769,"56,96%",1022,925,"75,57%",775,711,"49,37%",1193,1103,"81,05%"
39,693,638,"57,68%",996,901,"75,14%",774,715,"45,87%",1077,1001,"83,82%"
40,730,650,"57,85%",961,861,"75,38%",688,624,"46,15%",979,907,"83,68%"
41,632,582,"60,65%",956,873,"74,23%",662,623,"49,60%",967,899,"80,98%"
42,583,533,"53,28%",813,740,"72,30%",618,564,"45,04%",924,843,"81,61%"
43,645,573,"53,75%",733,669,"73,39%",568,526,"38,21%",825,778,"81,49%"
44,563,520,"51,73%",770,705,"75,18%",610,554,"42,96%",872,821,"82,83%"
45,568,519,"54,53%",688,634,"72,71%",585,535,"42,43%",754,689,"84,03%"
46,448,412,"53,88%",697,637,"73,78%",457,425,"38,59%",724,662,"83,69%"
47,447,404,"52,97%",597,541,"76,16%",458,432,"37,96%",712,658,"77,96%"
48,437,407,"49,39%",541,479,"71,82%",502,463,"34,77%",589,543,"80,29%"
49,418,384,"54,43%",491,450,"74,44%",484,439,"34,62%",534,496,"81,85%"
50,410,381,"48,82%",466,424,"74,29%",381,358,"38,27%",512,474,"80,17%"
51,284,265,"48,68%",434,398,"69,60%",339,314,"31,53%",489,442,"75,34%"
52,305,283,"45,58%",321,302,"69,87%",328,303,"35,97%",384,350,"76,57%"
53,285,259,"55,60%",294,272,"74,63%",335,317,"36,28%",389,355,"75,21%"
54,232,222,"44,14%",257,234,"73,08%",312,289,"34,26%",280,264,"81,06%"
55,286,256,"47,27%",206,186,"66,67%",324,302,"25,83%",297,273,"72,89%"
56,227,214,"46,26%",236,221,"71,49%",297,263,"30,04%",296,265,"77,74%"
57,256,230,"53,48%",256,245,"62,45%",283,261,"33,33%",296,273,"75,09%"
58,222,211,"55,92%",178,165,"70,91%",307,276,"31,52%",209,189,"84,66%"
59,214,194,"50,52%",173,157,"65,61%",324,284,"29,23%",208,188,"76,60%"
60,158,148,"49,32%",145,134,"63,43%",230,207,"29,47%",160,148,"83,11%"
61,172,153,"50,98%",178,171,"65,50%",138,132,"33,33%",192,180,"83,89%"
62,160,149,"52,35%",153,142,"64,08%",189,177,"32,20%",167,145,"86,21%"
63,114,105,"58,10%",115,105,"64,76%",123,115,"30,43%",129,119,"78,99%"
64,77,72,"43,06%",54,47,"59,57%",92,88,"22,73%",94,73,"71,23%"
65,66,61,"49,18%",66,59,"52,54%",60,55,"27,27%",73,66,"84,85%"
66,72,62,"54,84%",74,69,"73,91%",83,77,"33,77%",82,80,"90,00%"
67,89,79,"49,37%",95,87,"70,11%",99,88,"48,86%",110,101,"76,24%"
68,74,68,"32,35%",39,37,"48,65%",51,49,"22,45%",79,69,"65,22%"
69,41,38,"60,53%",29,27,"51,85%",45,40,"32,50%",48,44,"81,82%"
70,36,31,"32,26%",14,11,"54,55%",31,28,"10,71%",56,50,"68,00%"
71,24,24,"37,50%",22,21,"42,86%",14,13,"61,54%",49,43,"90,70%"
72,16,12,"33,33%",11,11,"45,45%",18,18,"38,89%",38,33,"72,73%"
73,10,10,"70,00%",6,6,"50,00%",24,17,"52,94%",25,23,"73,91%"
74,4,4,"50,00%",9,9,"77,78%",18,18,"5,56%",25,20,"75,00%"
75,34,32,"3,13%",2,2,"0,00%",2,2,"0,00%",14,11,"90,91%"
76,4,4,"0,00%",5,2,"100,00%",9,8,"12,50%",14,12,"75,00%"
77,9,8,"37,50%",5,5,"60,00%",6,4,"0,00%",18,18,"83,33%"
78,2,2,"0,00%",5,4,"25,00%",7,4,"50,00%",12,12,"75,00%"
79,9,8,"0,00%",4,4,"50,00%",0,0,nan,3,3,"100,00%"

