Unnamed: 0,Provas Teóricas,Provas Práticas,Total,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Centro de Exames,"ProvasMarcadas","ProvasRealizadas",% Aprovação,"ProvasMarcadas","ProvasRealizadas",% Aprovação,"ProvasMarcadas","ProvasRealizadas",% Aprovação
ACP_LISBOA,12 566,11 372,"67,53%",11 250,10 413,"69,61%",23 816,21 785,"68,53%"
ACP_PORTO,21 258,19 248,"71,90%",20 293,18 754,"58,08%",41 551,38 002,"65,08%"
AHBVT_FUNDÃO,2 306,2 138,"74,32%",3 125,2 819,"56,69%",5 431,4 957,"64,29%"
AHBVT_MIRANDELA,2 698,2 537,"71,54%",3 180,3 003,"67,80%",5 878,5 540,"69,51%"
AHBVT_PORTIMÃO,10 313,8 567,"57,71%",8 359,7 143,"61,04%",18 672,15 710,"59,22%"
AHBVT_TÁBUA,5 961,5 459,"72,45%",7 647,7 130,"78,18%",13 608,12 589,"75,69%"
ANIECA_ALBERGARIA-A-VELHA,12 694,11 509,"66,27%",13 215,11 847,"67,66%",25 909,23 356,"66,98%"
ANIECA_BARREIRO,17 902,16 031,"65,60%",14 641,13 217,"69,42%",32 543,29 248,"67,33%"
ANIECA_BRAGA,15 780,14 383,"73,48%",16 461,15 246,"73,62%",32 241,29 629,"73,55%"
ANIECA_LINDA-A-VELHA,18 786,16 837,"65,97%",14 829,13 397,"64,92%",33 615,30 234,"65,50%"
ANIECA_PENAFIEL,11 193,10 494,"67,84%",12 376,11 551,"66,81%",23 569,22 045,"67,30%"
ANIECA_PORTO DE MÓS,10 962,10 074,"67,46%",11 919,11 041,"67,23%",22 881,21 115,"67,34%"
APEC_LISBOA,26 085,23 469,"67,07%",26 804,24 793,"59,84%",52 889,48 262,"63,35%"
IMT_Aveiro,4 097,3 805,"65,49%",3 703,3 523,"70,71%",7 800,7 328,"68,00%"
IMT_Beja,2 107,2 001,"61,22%",1 731,1 648,"79,79%",3 838,3 649,"69,61%"
IMT_Braga,2 792,2 545,"67,39%",3 179,2 731,"88,14%",5 971,5 276,"78,13%"
IMT_Bragança,945,867,"69,09%",1 191,1 106,"73,69%",2 136,1 973,"71,67%"
IMT_Castelo Branco,495,471,"72,82%",761,722,"58,45%",1 256,1 193,"64,12%"
IMT_Coimbra,3 836,3 367,"69,85%",3 419,2 994,"63,83%",7 255,6 361,"67,02%"
IMT_Évora,2 742,2 407,"60,12%",1 778,1 655,"80,18%",4 520,4 062,"68,29%"
IMT_Faro,2 181,2 015,"55,33%",1 810,1 743,"57,54%",3 991,3 758,"56,36%"
IMT_Guarda,852,830,"69,28%",1 128,1 085,"66,27%",1 980,1 915,"67,57%"
IMT_Leiria,1 456,1 353,"72,43%",1 585,1 506,"78,82%",3 041,2 859,"75,80%"
IMT_Lisboa,1 243,1 079,"59,41%",542,499,"62,93%",1 785,1 578,"60,52%"
IMT_Lisboa_SMA,1 403,1 272,"65,17%",993,916,"84,72%",2 396,2 188,"73,35%"
IMT_Portalegre,1 555,1 481,"66,10%",1 503,1 401,"87,65%",3 058,2 882,"76,58%"
