Idade,Provas Marcadas,Provas Realizadas,% Aprova��o,Provas Marcadas,Provas Realizadas,% Aprova��o,Provas Marcadas,Provas Realizadas,AT
14,1,1,"100,00%",0,0,nan,1,1,"100,00%"
15,1,1,"100,00%",0,0,nan,1,1,"100,00%"
16,5 592,5 120,"70,00%",2 701,2 483,"85,06%",8 293,7 603,"74,92%"
17,4 008,3 622,"63,45%",3 435,3 188,"83,97%",7 443,6 810,"73,05%"
18,45 137,41 548,"78,11%",30 588,28 235,"76,76%",75 725,69 783,"77,56%"
19,33 511,30 383,"67,85%",37 847,34 922,"68,86%",71 358,65 305,"68,39%"
20,21 666,19 353,"63,67%",24 126,21 966,"63,22%",45 792,41 319,"63,43%"
21,14 014,12 466,"64,83%",15 478,14 065,"61,22%",29 492,26 531,"62,92%"
22,10 028,8 920,"64,62%",10 253,9 270,"61,86%",20 281,18 190,"63,21%"
23,7 579,6 695,"65,08%",7 322,6 609,"62,60%",14 901,13 304,"63,85%"
24,6 524,5 766,"67,43%",6 523,5 872,"65,68%",13 047,11 638,"66,55%"
25,5 350,4 789,"65,75%",5 318,4 807,"65,22%",10 668,9 596,"65,49%"
26,4 557,3 998,"67,53%",4 445,4 040,"65,77%",9 002,8 038,"66,65%"
27,4 443,3 932,"64,73%",4 078,3 701,"64,44%",8 521,7 633,"64,59%"
28,3 917,3 430,"63,06%",3 746,3 392,"63,77%",7 663,6 822,"63,41%"
29,3 590,3 173,"65,33%",3 240,2 917,"67,47%",6 830,6 090,"66,35%"
30,3 307,2 927,"64,40%",3 116,2 773,"63,14%",6 423,5 700,"63,79%"
31,3 006,2 644,"61,95%",2 799,2 552,"63,64%",5 805,5 196,"62,78%"
32,2 857,2 514,"62,37%",2 611,2 362,"63,29%",5 468,4 876,"62,82%"
33,2 665,2 375,"59,16%",2 408,2 202,"65,12%",5 073,4 577,"62,03%"
34,2 470,2 194,"62,72%",2 245,2 024,"69,96%",4 715,4 218,"66,19%"
35,2 275,2 000,"60,40%",2 127,1 908,"66,88%",4 402,3 908,"63,56%"
36,2 133,1 898,"61,38%",2 144,1 951,"63,56%",4 277,3 849,"62,48%"
37,2 132,1 860,"61,99%",2 073,1 880,"65,69%",4 205,3 740,"63,85%"
38,1 980,1 781,"64,01%",1 949,1 780,"65,51%",3 929,3 561,"64,76%"
39,1 879,1 670,"61,74%",1 823,1 636,"64,85%",3 702,3 306,"63,28%"
40,1 711,1 518,"64,49%",1 829,1 661,"66,16%",3 540,3 179,"65,37%"
41,1 743,1 528,"63,55%",1 641,1 445,"66,02%",3 384,2 973,"64,75%"
